"eeg0","eeg1","eeg2","eeg3"
436.5234375,546.875,291.50390625,977.5390625
-1000.0,-1000.0,-744.140625,-488.28125
-635.25390625,-869.62890625,-984.86328125,-1000.0
952.63671875,661.1328125,-149.90234375,278.80859375
930.6640625,-924.8046875,403.3203125,-771.484375
-559.08203125,-348.14453125,-461.42578125,97.65625
-1000.0,-1000.0,-1000.0,-1000.0
204.1015625,13.671875,-448.2421875,-227.5390625
-775.87890625,-781.25,432.6171875,-793.9453125
60.05859375,160.15625,-185.05859375,227.5390625
-1000.0,-1000.0,-1000.0,-1000.0
-248.046875,-259.27734375,-745.1171875,-280.2734375
-806.640625,-807.12890625,311.5234375,-827.63671875
234.86328125,271.484375,124.0234375,591.30859375
-1000.0,-1000.0,-950.1953125,-1000.0
-322.75390625,-505.37109375,-948.73046875,-736.328125
-835.44921875,-929.19921875,64.94140625,829.58984375
528.80859375,663.57421875,399.90234375,-905.2734375
-1000.0,-905.2734375,-647.94921875,-291.50390625
-804.19921875,-1000.0,-1000.0,-1000.0
770.01953125,437.5,-220.21484375,118.1640625
-960.9375,-853.515625,459.9609375,-761.23046875
-416.015625,-210.9375,-435.546875,186.03515625
-1000.0,-1000.0,-1000.0,-1000.0
79.1015625,-141.11328125,-477.5390625,-266.11328125
-773.92578125,-801.7578125,520.5078125,-800.29296875
145.5078125,210.9375,-51.26953125,269.04296875
-1000.0,-1000.0,-1000.0,-1000.0
-257.8125,-280.76171875,-785.15625,-408.203125
-807.6171875,-813.4765625,350.09765625,-894.04296875
239.2578125,333.984375,59.08203125,709.47265625
-1000.0,-1000.0,-1000.0,-903.80859375
-458.0078125,-642.578125,-915.0390625,-879.39453125
-897.94921875,958.0078125,84.47265625,657.71484375
628.90625,795.41015625,356.93359375,-840.33203125
-980.46875,-753.41796875,-647.4609375,-154.78515625
-928.22265625,-1000.0,-1000.0,-1000.0
578.125,246.09375,-253.41796875,15.13671875
-845.21484375,-804.6875,419.43359375,-764.6484375
-202.1484375,-63.96484375,-375.48828125,203.125
-1000.0,-1000.0,-1000.0,-1000.0
-19.53125,-199.21875,-632.8125,-272.94921875
-773.4375,-805.6640625,356.4453125,-803.7109375
207.51953125,231.93359375,-42.96875,397.94921875
-1000.0,-1000.0,-1000.0,-1000.0
-270.5078125,-322.265625,-858.3984375,-499.51171875
-804.19921875,-830.078125,177.24609375,-959.9609375
339.35546875,458.0078125,198.2421875,866.2109375
-1000.0,-1000.0,-846.19140625,-681.640625
-535.15625,-736.81640625,-979.00390625,-1000.0
-969.23828125,841.796875,-104.00390625,464.35546875
